Year DOY  Hr Min  Btot   Bx       By     Bz      V       n
2017 246  7 30    3.43   -2.35   -0.16    2.43   509.6   2.40
2017 246  7 35    3.42   -2.47    0.27    2.31   510.3   2.42
2017 246  7 40    3.43   -2.56   -0.25    2.18   510.2   2.32
2017 246  7 45    3.51   -2.79   -0.86    1.73   508.0   2.49
2017 246  7 50    3.74   -2.47   -2.18    1.56   515.1   2.49
2017 246  7 55    3.71   -2.90   -0.70    1.45   510.3   2.58
2017 246  8  0    3.59   -2.32    2.19    1.15   512.6   2.70
2017 246  8  5    3.69   -1.26    3.05    1.53 99999.9 999.99
2017 246  8 10    3.61   -0.56    3.30    1.32 99999.9 999.99
2017 246  8 15    3.58   -1.10    3.19    1.18 99999.9 999.99
2017 246  8 20    3.63   -1.91    2.42    1.54   511.2   2.84
2017 246  8 25    3.58   -2.51    1.61    1.50   511.6   2.82
2017 246  8 30    3.64   -2.17    2.50    1.05   510.9   2.91
2017 246  8 35    3.67   -2.45    2.13    1.28   509.6   2.75
2017 246  8 40    3.64   -1.84    2.20    1.93   509.6   2.73
2017 246  8 45    3.62   -2.65    1.92    0.89   512.2   2.75
2017 246  8 50    3.61   -2.91    1.79    0.74   510.3   2.81
2017 246  8 55    3.60   -2.45    2.18   -0.89   514.9   2.76
2017 246  9  0    3.54   -2.43    2.22   -0.71   509.8   2.71
2017 246  9  5    3.45   -2.27    2.16    0.29   510.7   2.65
2017 246  9 10    3.59   -2.28    2.36    0.93   514.2   2.85
2017 246  9 15    3.57   -2.02    2.51    0.98   511.3   2.69
2017 246  9 20    3.55   -1.56    2.89   -0.30   517.5   2.87
2017 246  9 25    3.59   -1.55    2.55    1.16   513.1   2.75
2017 246  9 30    3.71   -0.89    3.56    0.43   519.5   2.51
2017 246  9 35    3.61   -2.03    2.77    0.69   516.2   2.55
2017 246  9 40    3.64   -1.94    2.94    0.32   508.8   2.71
2017 246  9 45    3.57   -1.19    2.68   -0.48   518.7   2.68
2017 246  9 50    3.60   -0.93    3.23   -0.02   516.5   2.71
2017 246  9 55    3.75   -1.46    3.38    0.11   510.2   2.66
2017 246 10  0    4.08   -1.59    3.73    0.36   509.2   2.79
2017 246 10  5    3.52   -1.94    2.85    0.50 99999.9 999.99
2017 246 10 10    3.68   -1.15    3.33   -0.03   507.4   3.05
2017 246 10 15    3.78   -0.96    3.44    0.76   513.0   2.99
2017 246 10 20    3.77   -1.24    3.52    0.35   509.2   2.80
2017 246 10 25    3.59   -2.22    2.50   -0.73 99999.9 999.99
2017 246 10 30    3.53   -2.25    2.46   -0.55   502.0   2.80
2017 246 10 35    3.31   -2.45    0.28   -0.63   517.1   2.81
2017 246 10 40    3.91   -3.38   -1.51   -0.96   498.4   2.96
2017 246 10 45    3.91   -3.03   -1.95   -1.02   501.7   3.05
2017 246 10 50    3.92   -2.86   -2.25   -0.92   502.6   2.97
2017 246 10 55    3.92   -2.68   -2.17   -0.89   504.0   3.01
2017 246 11  0    3.99   -3.00   -2.07    0.21   502.3   2.98
2017 246 11  5    4.05   -3.48   -1.07    1.34   497.5   3.10
2017 246 11 10    4.03   -3.76   -1.27    0.46   496.0   3.06
2017 246 11 15    3.98   -3.92   -0.36    0.46   493.6   3.21
2017 246 11 20    3.98   -3.88   -0.09    0.74   493.4   3.22
2017 246 11 25    4.04   -1.80   -3.43   -0.64   493.4   3.21
2017 246 11 30    4.01   -2.26   -3.30   -0.20 99999.9 999.99
2017 246 11 35    3.98   -2.56   -3.01   -0.14   496.8   2.91
2017 246 11 40    3.97   -2.98   -2.50    0.24   495.5   2.93
2017 246 11 45    3.96   -2.82   -2.70    0.09   497.1   2.94
2017 246 11 50    3.90   -3.05   -2.31    0.61   492.5   2.87
2017 246 11 55    3.81   -3.42   -1.46   -0.03   491.0   2.91
2017 246 12  0    3.78   -3.63   -0.52    0.40   488.5   2.86
2017 246 12  5    3.75   -3.63   -0.00    0.86   488.0   2.89
2017 246 12 10    3.73   -3.59    0.01    0.96   487.5   2.87
2017 246 12 15    3.74   -3.54   -0.37    1.12   487.5   2.85
2017 246 12 20    3.65   -3.45   -0.33    0.84   486.1   2.93
2017 246 12 25    3.62   -3.19    1.02    1.24   486.2   2.87
2017 246 12 30    3.64   -3.36    1.09    0.83   487.2   2.89
2017 246 12 35    3.70   -3.54    0.93    0.24   484.7   3.21
2017 246 12 40    3.70   -3.67    0.00   -0.36   483.6   3.15
2017 246 12 45    3.71   -3.68   -0.39   -0.04   486.3   3.19
2017 246 12 50    3.69   -3.59   -0.79    0.14   485.8   3.15
2017 246 12 55    3.71   -3.46   -1.29    0.07   485.6   3.26
2017 246 13  0    3.79   -3.63   -0.85    0.18   485.5   3.21
2017 246 13  5    3.87   -3.82   -0.50    0.21   485.5   3.18
2017 246 13 10    3.81   -3.80   -0.13    0.00   484.7   3.16
2017 246 13 15    3.81   -3.79   -0.11   -0.37   483.8   3.12
2017 246 13 20    3.85   -3.83   -0.02   -0.32   484.2   3.10
2017 246 13 25    3.74   -3.65    0.28   -0.64   483.2   3.11
2017 246 13 30    3.76   -3.69    0.19   -0.51   483.4   3.13
2017 246 13 35    3.70   -3.64    0.22   -0.52   482.8   3.09
2017 246 13 40    3.75   -3.65    0.56   -0.50   482.5   3.08
2017 246 13 45    3.83   -3.62    0.79   -0.91   482.6   3.29
2017 246 13 50    3.84   -3.61    1.20   -0.37   481.3   3.23
2017 246 13 55    3.84   -3.29    1.64   -1.06   482.6   3.21
2017 246 14  0    3.75   -2.87    1.83   -1.40   485.6   3.05
2017 246 14  5    3.54   -3.26   -0.40   -0.96   484.5   3.24
2017 246 14 10    3.71   -2.33    1.66   -2.28   487.5   3.45
2017 246 14 15    3.83   -1.65    2.24   -2.53   494.1   3.29
2017 246 14 20    3.86   -1.17    2.25   -2.86   494.9   3.25
2017 246 14 25    3.84   -0.91    2.89   -2.29   497.9   3.16
2017 246 14 30    3.81   -0.27    3.03   -2.23   504.2   3.15
2017 246 14 35    3.86    0.23    3.20   -2.05   510.9   3.17
2017 246 14 40    3.95   -0.07    3.00   -2.42   506.8   3.23
2017 246 14 45    3.93   -0.07    2.27   -3.13   505.3   3.27
2017 246 14 50    3.94   -0.37    2.63   -2.77   508.3   3.31
2017 246 14 55    3.66   -1.96    2.19    0.38   496.1   3.42
2017 246 15  0    3.76   -1.24    3.21   -1.43   499.1   3.33
2017 246 15  5    3.56   -1.56    0.71    1.19   498.0   2.91
2017 246 15 10    3.88   -2.43    0.33    2.75   490.3   2.87
2017 246 15 15    4.30   -2.70    2.61    1.48   489.7   2.83
2017 246 15 20    4.39   -3.22    2.74    0.85   488.5   3.00
2017 246 15 25    4.33   -2.20    3.64    0.09   484.1   3.02
2017 246 15 30    4.69   -2.14    4.14   -0.03 99999.9 999.99
2017 246 15 35    4.30   -2.07    3.59   -0.58   491.1   3.43
2017 246 15 40    4.21   -0.54    3.65   -1.82   501.8   3.18
2017 246 15 45    4.21    0.35    3.61   -2.08   511.6   3.11
2017 246 15 50    3.94    0.97    3.34   -1.79   513.0   3.09
2017 246 15 55    4.25   -0.28    3.87   -1.15   506.4   2.81
2017 246 16  0    4.49   -0.57    4.32   -1.06   505.9   2.59
2017 246 16  5    4.51   -1.13    4.23   -0.96   504.6   2.63
2017 246 16 10    4.56   -0.45    4.50    0.24   503.7   2.44
2017 246 16 15    4.30    0.24    4.12    0.68   507.2   2.37
2017 246 16 20    4.35   -0.72    4.19    0.88   500.4   2.58
2017 246 16 25    4.29   -1.51    3.65    1.53   500.8   2.65
2017 246 16 30    4.18   -1.53    3.86    0.29 99999.9 999.99
2017 246 16 35    4.25   -1.91    3.70   -0.46   479.4   2.78
2017 246 16 40    4.14   -1.79    3.34    0.30   480.5   2.81
2017 246 16 45    3.87   -3.64    0.23   -1.19   475.0   3.13
2017 246 16 50    3.90   -3.49    1.20   -1.26   476.0   3.11
2017 246 16 55    3.88   -3.52    1.22   -1.00   474.6   3.24
2017 246 17  0    3.82   -3.69    0.84   -0.33   474.1   3.33
2017 246 17  5    3.88   -3.84   -0.13   -0.32   473.6   3.34
2017 246 17 10    4.06   -3.92   -0.98   -0.27   476.8   3.36
2017 246 17 15    4.15   -3.73   -1.74   -0.32   480.4   3.21
2017 246 17 20    4.50   -4.07   -1.91   -0.15   475.9   3.36
2017 246 17 25    4.47   -3.94   -2.03   -0.45 99999.9 999.99
2017 246 17 30    4.71   -4.14   -2.19   -0.51 99999.9 999.99
2017 246 17 35    4.75   -4.18   -2.20   -0.48 99999.9 999.99
2017 246 17 40    4.81   -4.26   -2.19   -0.45 99999.9 999.99
2017 246 17 45    4.82   -4.23   -2.27   -0.42 99999.9 999.99
2017 246 17 50    4.80   -4.18   -2.31   -0.50 99999.9 999.99
2017 246 17 55    4.89   -4.31   -2.27   -0.36 99999.9 999.99
2017 246 18  0    4.76   -4.19   -2.25   -0.05 99999.9 999.99
2017 246 18  5    4.73   -3.91   -2.61   -0.15 99999.9 999.99
2017 246 18 10    4.47   -3.42   -2.81    0.07   483.4   2.69
2017 246 18 15    4.36   -3.67   -2.32    0.29   482.7   2.58
2017 246 18 20    4.34   -3.67   -2.23    0.63   476.6   2.98
2017 246 18 25    4.47   -4.01   -1.91    0.40   485.6   2.69
2017 246 18 30    4.77   -4.44   -1.74    0.18   483.9   2.68
2017 246 18 35    4.79   -4.25   -2.02   -0.28   482.9   2.80
2017 246 18 40    4.76   -4.17   -2.20   -0.49   486.2   2.72
2017 246 18 45    4.68   -4.27   -1.79   -0.63   478.9   2.87
2017 246 18 50    4.57   -4.22   -1.49   -0.83   475.4   2.86
2017 246 18 55    4.57   -4.29   -1.38   -0.73   476.9   2.75
2017 246 19  0    4.50   -4.02   -1.92    0.25   475.9   3.09
2017 246 19  5    4.65   -3.95   -2.39    0.39   478.1   3.09
2017 246 19 10    4.61   -4.11   -2.04   -0.06   475.8   3.07
2017 246 19 15    4.76   -4.29   -2.06   -0.18 99999.9 999.99
2017 246 19 20    4.81   -4.28   -2.17   -0.25 99999.9 999.99
2017 246 19 25    4.84   -4.05   -2.57   -0.50 99999.9 999.99
2017 246 19 30    4.50   -3.61   -2.66   -0.31   477.8   2.84
2017 246 19 35    4.45   -3.33   -2.92   -0.33   475.4   2.70
2017 246 19 40    4.45   -3.17   -3.10   -0.06   476.4   2.76
2017 246 19 45    4.55   -3.27   -3.12    0.27   481.3   2.88
2017 246 19 50    4.61   -3.50   -2.97    0.06   480.5   2.86
2017 246 19 55    4.62   -3.12   -3.09    1.17   480.7   3.15
2017 246 20  0    4.66   -3.06   -3.27    1.24   482.4   2.76
2017 246 20  5    4.67   -2.31   -3.70    1.52   483.3   2.68
2017 246 20 10    4.62   -3.99   -2.04    0.25   474.9   3.12
2017 246 20 15    4.62   -4.22   -1.86    0.26   479.4   3.17
2017 246 20 20    4.83   -4.42   -1.93    0.13   483.2   2.93
2017 246 20 25    4.70   -4.20   -2.08   -0.00   478.8   3.23
2017 246 20 30    4.73   -4.18   -2.12   -0.55   479.7   3.34
2017 246 20 35    4.72   -3.67   -2.66   -0.46   479.2   3.53
2017 246 20 40    4.14   -1.75   -3.62    0.07   471.8   3.97
2017 246 20 45    4.18   -1.88   -3.71   -0.03   471.5   4.02
2017 246 20 50    4.96   -3.75   -2.77    0.66   475.3   4.24
2017 246 20 55    4.71   -4.15   -1.88    1.05   470.8   4.34
2017 246 21  0    4.65   -3.66   -2.38    0.60   470.2   4.35
2017 246 21  5    4.66   -3.61   -2.89   -0.19   469.5   4.16
2017 246 21 10    4.64   -3.29   -3.19   -0.20   469.7   4.29
2017 246 21 15    4.78   -3.02   -3.68    0.02   472.7   4.07
2017 246 21 20    4.48   -3.34   -2.79    0.79   470.2   4.05
2017 246 21 25    4.62   -4.04   -1.97    0.75   465.0   4.09
2017 246 21 30    4.86   -3.42   -3.33    0.72   462.2   4.13
2017 246 21 35    4.97   -3.07   -3.89    0.37   467.2   4.42
2017 246 21 40    4.70   -2.74   -3.80    0.35   468.6   4.22
2017 246 21 45    4.73   -2.54   -1.64    0.28   473.4   4.10
2017 246 21 50    4.81   -3.09   -1.05    0.98   475.8   3.70
2017 246 21 55    4.74   -3.56   -1.79    0.48   470.4   3.72
2017 246 22  0    4.71   -0.97    4.37    0.70   484.0   3.73
2017 246 22  5    4.87   -0.75    4.52    1.52   490.2   3.47
2017 246 22 10    4.86   -1.03    4.16    1.78   491.0   3.50
2017 246 22 15    5.07   -3.62   -0.27    3.38   475.5   3.56
2017 246 22 20    4.93   -3.31   -1.31    3.33   478.7   3.70
2017 246 22 25    4.95   -3.46   -0.43    3.45   482.6   3.83
2017 246 22 30    5.15   -3.68    0.27    3.50   474.4   4.00
2017 246 22 35    5.32   -3.89    2.06    2.89   475.2   4.39
2017 246 22 40    5.54   -4.15    2.96    1.96   474.4   4.24
2017 246 22 45    5.68   -2.83    4.61   -0.40   481.5   3.93
2017 246 22 50    5.48   -1.50    5.12   -1.11   482.9   3.88
2017 246 22 55    5.45   -1.36    4.99   -0.79   482.2   3.80
2017 246 23  0    5.32   -0.48    4.74   -2.00   479.0   4.07
2017 246 23  5    5.18    1.26    4.42   -1.00   495.4   3.72
2017 246 23 10    5.39    2.38    3.73   -2.83   509.6   4.11
2017 246 23 15    5.25    1.35    3.69   -3.40   494.7   3.86
2017 246 23 20    5.06    1.88    3.36   -3.21   501.8   3.76
2017 246 23 25    4.74    0.36    4.04   -2.06   491.0   4.04
2017 246 23 30    4.06   -0.41    3.18   -0.84   478.0   4.04
2017 246 23 35    4.57    0.34    4.38   -0.63   489.1   3.75
2017 246 23 40    4.33   -0.02    3.58   -1.65   494.7   3.64
2017 246 23 45    4.55    1.71    2.67   -2.77   503.3   3.72
2017 246 23 50    4.48    1.97    1.87   -3.52   507.3   3.72
2017 246 23 55    4.52    1.39    2.42   -3.31   500.8   3.54
2017 247  0  0    4.37    1.62    2.38   -2.97   502.7   3.46
2017 247  0  5    4.22    1.39    3.22   -2.24   504.7   3.54
2017 247  0 10    3.86    0.93    2.77   -2.40   498.5   3.60
2017 247  0 15    3.67    0.42    2.24   -2.78   495.1   3.65
2017 247  0 20    3.33   -0.05    2.76   -1.47   491.8   3.76
2017 247  0 25    3.59   -0.70    2.50   -2.12   491.3   3.91
2017 247  0 30    3.73   -0.70    2.42   -2.31   487.5   3.91
